"cd3cd28icam2_aktinhib.Raf","cd3cd28icam2_aktinhib.Mek","cd3cd28icam2_aktinhib.Plcg","cd3cd28icam2_aktinhib.PIP2","cd3cd28icam2_aktinhib.PIP3","cd3cd28icam2_aktinhib.Erk","cd3cd28icam2_aktinhib.Akt","cd3cd28icam2_aktinhib.PKA","cd3cd28icam2_aktinhib.PKC","cd3cd28icam2_aktinhib.P38","cd3cd28icam2_aktinhib.Jnk"
75.7,16.8,45.7,50.9,25.9,61,106,906,4.41,17.8,31.3
42.2,20.2,6.04,5.78,1.45,1,3.46,12,4.83,17.8,25
13.3,17.9,7.23,6.1,5.88,33.1,55.7,626,4.57,10.2,40
75,46.6,6.44,10.5,8.51,61,93.1,982,4.78,13.3,39.2
30.2,18.8,7.04,143,32.2,71.7,118,1275,8.43,24.1,62.6
63.2,50.9,14.5,11.9,3.68,38.9,71,1640,10.6,24.4,67.3
213,145,5.42,8.2,19.3,79.1,139,1811,6.1,28.6,48.3
45.3,36.8,3.75,730,106,24.1,43.3,400,5.28,14.9,85.8
55.7,39.2,2.86,16.1,13.1,77.7,167,2666,2.39,14.2,44.5
45.7,8.35,9.82,316,118,42.9,64.4,673,10.2,9.65,1.75
106,81.3,1,221,20.9,10.7,8.58,334,5.09,29.4,33.1
77,73,9.56,276,78.4,20.7,39.6,615,8.9,30,40.7
85.8,88.2,4.87,94.7,7.17,47.8,66.1,269,9.14,19.8,46.6
54.2,41.4,14.2,392,72.3,37.9,59.9,372,5.05,14.3,56.2
105,85.1,20,32.2,17.8,67.9,106,297,2.59,8.06,44.5
227,158,16.3,302,78.4,11,27.9,533,8.98,24.6,82
12.4,11,31.6,316,102,3.62,20.4,165,8.9,24.6,21.7
30,23.9,8.13,10.1,5.52,32.2,58.8,717,6.67,23.7,6.32
213,257,5.33,143,8.74,45.3,106,1625,6.98,10.2,38.2
34.9,22.1,1.46,505,92.2,34.6,73.7,2035,4.66,18.6,50
135,98.2,10.9,13.9,11.7,67.9,170,2207,4.96,35.2,57.3
102,82,2.33,389,85.8,42.9,75,1027,3.31,16.8,39.6
60.4,47.4,3.13,302,59.9,22.9,35.2,322,3.96,8.28,19.6
34,22.5,10.6,11.1,13.1,9.82,12.4,200,4.53,17,33.4
