params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 0, XY, 0.27, 0.01
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 0, YX, 0.0, 0.466
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 1, XY, 0.924, 0.075
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 1, YX, 0.001, 0.924
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 2, XY, 0.628, 0.456
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 2, YX, 0.0, 0.793
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 3, XY, 0.466, 0.1
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 3, YX, 0.001, 0.866
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 4, XY, 0.221, 0.057
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 4, YX, 0.0, 0.628
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 5, XY, 0.27, 0.059
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 5, YX, 0.0, 0.628
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 6, XY, 0.178, 0.0
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 6, YX, 0.0, 0.866
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 7, XY, 0.713, 0.003
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 7, YX, 0.0, 0.052
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 8, XY, 0.068, 0.473
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 8, YX, 0.016, 0.328
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 9, XY, 0.142, 0.014
2, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 9, YX, 0.001, 0.328
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 0, XY, 0.713, 0.01
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 0, YX, 0.0, 0.545
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 1, XY, 0.793, 0.075
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 1, YX, 0.001, 0.965
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 2, XY, 0.713, 0.456
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 2, YX, 0.0, 0.866
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 3, XY, 0.088, 0.1
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 3, YX, 0.001, 0.965
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 4, XY, 0.628, 0.057
2, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,0], 200, 4, YX, 0.0, 0.713
