params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 0, XY, 0.149, 0.01
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 0, YX, 0.0, 0.77
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 1, XY, 0.003, 0.075
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 1, YX, 0.001, 0.713
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 2, XY, 0.0, 0.456
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 2, YX, 0.0, 0.005
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 3, XY, 0.002, 0.1
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 3, YX, 0.001, 0.84
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 4, XY, 0.281, 0.057
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 4, YX, 0.0, 0.805
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 5, XY, 0.001, 0.059
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 5, YX, 0.0, 0.704
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 6, XY, 0.0, 0.0
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 6, YX, 0.0, 0.165
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 7, XY, 0.0, 0.003
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 7, YX, 0.0, 0.616
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 8, XY, 0.017, 0.473
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 8, YX, 0.016, 0.391
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 9, XY, 0.096, 0.014
2, kci, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 9, YX, 0.001, 0.583
2, fisherz, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 0, XY, 0.719, 0.01
2, fisherz, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 0, YX, 0.0, 0.99
2, fisherz, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 1, XY, 0.662, 0.075
2, fisherz, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 1, YX, 0.001, 0.518
2, fisherz, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 2, XY, 0.44, 0.456
2, fisherz, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 2, YX, 0.0, 0.453
2, fisherz, {}, id, 2, soft, additive, 0, 1, [None,0], 200, 3, XY, 0.417, 0.1
