Params, Params, Params, Params, XY, XY, YX, YX
params_index, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, [None,0], 50, 0, 0.218, 0.368, 0.408, 0.931
0, [None,0], 50, 1, 0.802, 0.216, 0.171, 0.545
0, [None,0], 50, 2, 0.396, 0.0, 0.0, 0.97
0, [None,0], 50, 3, 0.644, 0.106, 0.189, 0.545
0, [None,0], 50, 4, 0.95, 0.0, 0.0, 0.139
0, [None,0], 50, 5, 0.218, 0.003, 0.0, 0.158
0, [None,0], 50, 6, 0.277, 0.0, 0.0, 0.119
0, [None,0], 50, 7, 0.079, 0.045, 0.0, 0.208
0, [None,0], 50, 8, 0.257, 0.119, 0.003, 0.119
0, [None,0], 50, 9, 0.059, 0.075, 0.0, 0.713
0, [None,0], 50, 10, 0.139, 0.0, 0.0, 0.891
0, [None,0], 50, 11, 0.119, 1.0, 0.001, 0.01
0, [None,0], 50, 12, 0.465, 0.0, 0.0, 0.436
0, [None,0], 50, 13, 0.069, 0.039, 0.01, 0.426
0, [None,0], 50, 14, 0.317, 0.085, 0.0, 0.644
0, [None,0], 50, 15, 0.297, 0.016, 0.0, 0.911
0, [None,0], 50, 16, 0.584, 0.15, 0.001, 0.297
0, [None,0], 50, 17, 0.158, 0.009, 0.0, 0.871
0, [None,0], 50, 18, 0.208, 0.002, 0.002, 0.406
0, [None,0], 50, 19, 0.624, 0.01, 0.0, 0.287
0, [None,0], 100, 0, 0.089, 0.0, 0.0, 0.198
0, [None,0], 100, 1, 0.178, 0.033, 0.0, 0.931
0, [None,0], 100, 2, 0.248, 0.0, 0.0, 0.762
0, [None,0], 100, 3, 0.673, 0.0, 0.002, 0.05
0, [None,0], 100, 4, 0.515, 0.0, 0.0, 0.525
0, [None,0], 100, 5, 0.059, 0.0, 0.0, 0.723
0, [None,0], 100, 6, 0.545, 0.0, 0.0, 0.644
0, [None,0], 100, 7, 0.01, 0.2, 0.013, 0.634
0, [None,0], 100, 8, 1.0, 0.0, 0.0, 0.792
0, [None,0], 100, 9, 0.099, 0.162, 0.0, 0.485
0, [None,0], 100, 10, 0.089, 0.0, 0.0, 0.743
0, [None,0], 100, 11, 0.188, 0.366, 0.082, 0.238
0, [None,0], 100, 12, 0.119, 0.0, 0.0, 0.317
0, [None,0], 100, 13, 0.604, 0.005, 0.004, 0.881
0, [None,0], 100, 14, 0.931, 0.618, 0.345, 0.901
0, [None,0], 100, 15, 0.257, 0.0, 0.0, 0.317
0, [None,0], 100, 16, 0.356, 0.0, 0.0, 0.277
0, [None,0], 100, 17, 0.059, 0.004, 0.0, 0.04
0, [None,0], 100, 18, 0.554, 0.0, 0.0, 0.812
0, [None,0], 100, 19, 0.129, 0.0, 0.0, 0.228
0, [None,0], 200, 0, 0.505, 0.283, 0.115, 0.95
0, [None,0], 200, 1, 0.01, 0.009, 0.0, 0.851
0, [None,0], 200, 2, 1.0, 0.0, 0.0, 0.733
0, [None,0], 200, 3, 0.376, 0.0, 0.015, 0.644
0, [None,0], 200, 4, 0.851, 0.0, 0.0, 0.644
0, [None,0], 200, 5, 0.03, 0.0, 0.0, 0.743
0, [None,0], 200, 6, 0.04, 0.0, 0.0, 0.871
0, [None,0], 200, 7, 0.01, 0.008, 0.0, 0.812
0, [None,0], 200, 8, 0.743, 0.0, 0.0, 0.96
0, [None,0], 200, 9, 0.139, 0.0, 0.0, 0.248
0, [None,0], 200, 10, 0.337, 0.0, 0.0, 0.455
0, [None,0], 200, 11, 0.198, 0.127, 1.0, 0.218
0, [None,0], 200, 12, 0.287, 0.0, 0.0, 0.347
0, [None,0], 200, 13, 0.743, 0.0, 0.0, 0.01
0, [None,0], 200, 14, 0.02, 0.242, 0.015, 0.802
0, [None,0], 200, 15, 0.604, 0.0, 0.0, 0.861
0, [None,0], 200, 16, 0.01, 0.23, 0.0, 0.188
0, [None,0], 200, 17, 0.059, 0.0, 0.0, 0.198
0, [None,0], 200, 18, 0.564, 0.0, 0.0, 0.475
0, [None,0], 200, 19, 0.792, 0.212, 0.417, 0.347
0, [None,0], 300, 0, 0.535, 0.0, 0.0, 0.891
0, [None,0], 300, 1, 0.515, 0.699, 0.007, 0.832
0, [None,0], 300, 2, 1.0, 0.0, 0.0, 0.733
0, [None,0], 300, 3, 0.149, 0.0, 0.0, 0.634
0, [None,0], 300, 4, 0.416, 0.0, 0.0, 0.495
0, [None,0], 300, 5, 0.01, 0.018, 0.0, 0.337
0, [None,0], 300, 6, 0.02, 1.0, 0.009, 0.079
0, [None,0], 300, 7, 0.851, 0.0, 0.0, 0.495
0, [None,0], 300, 8, 0.624, 0.0, 0.0, 0.317
0, [None,0], 300, 9, 0.03, 0.0, 0.0, 0.861
0, [None,0], 300, 10, 0.475, 0.0, 0.0, 0.218
0, [None,0], 300, 11, 0.02, 0.161, 0.0, 0.406
0, [None,0], 300, 12, 0.069, 0.0, 0.0, 0.564
0, [None,0], 300, 13, 0.911, 0.0, 0.0, 0.376
0, [None,0], 300, 14, 0.188, 0.0, 0.0, 0.505
0, [None,0], 300, 15, 0.238, 0.0, 0.0, 0.96
0, [None,0], 300, 16, 0.01, 0.0, 0.0, 0.762
0, [None,0], 300, 17, 0.01, 0.78, 0.0, 0.198
0, [None,0], 300, 18, 0.376, 0.0, 0.0, 0.683
0, [None,0], 300, 19, 0.05, 0.0, 0.0, 0.198
1, [None,1], 50, 0, 0.03, 0.026, 0.152, 0.079
1, [None,1], 50, 1, 0.099, 0.005, 0.709, 0.01
1, [None,1], 50, 2, 0.653, 0.001, 1.0, 0.01
1, [None,1], 50, 3, 0.416, 0.049, 1.0, 0.01
1, [None,1], 50, 4, 0.099, 0.0, 1.0, 0.01
1, [None,1], 50, 5, 0.079, 0.0, 0.243, 0.01
1, [None,1], 50, 6, 0.287, 0.0, 0.247, 0.01
1, [None,1], 50, 7, 0.05, 1.0, 1.0, 0.366
1, [None,1], 50, 8, 0.109, 0.0, 0.072, 0.01
1, [None,1], 50, 9, 0.257, 0.001, 0.217, 0.02
1, [None,1], 50, 10, 0.03, 0.005, 0.431, 0.04
1, [None,1], 50, 11, 0.297, 0.0, 0.276, 0.01
1, [None,1], 50, 12, 0.04, 1.0, 0.419, 0.01
1, [None,1], 50, 13, 0.02, 0.006, 0.136, 0.01
1, [None,1], 50, 14, 0.356, 0.0, 0.419, 0.01
1, [None,1], 50, 15, 0.842, 0.0, 0.824, 0.01
1, [None,1], 50, 16, 0.832, 0.007, 0.334, 0.337
1, [None,1], 50, 17, 0.624, 0.008, 0.752, 0.03
1, [None,1], 50, 18, 0.238, 0.06, 0.332, 0.238
1, [None,1], 50, 19, 0.129, 0.001, 0.344, 0.01
1, [None,1], 100, 0, 0.396, 0.0, 1.0, 0.01
1, [None,1], 100, 1, 0.01, 0.012, 0.11, 0.01
1, [None,1], 100, 2, 0.475, 0.0, 0.281, 0.01
1, [None,1], 100, 3, 0.01, 0.002, 0.173, 0.01
1, [None,1], 100, 4, 0.366, 0.0, 0.184, 0.01
1, [None,1], 100, 5, 0.03, 1.0, 0.373, 0.04
1, [None,1], 100, 6, 0.307, 0.0, 1.0, 0.01
1, [None,1], 100, 7, 0.119, 0.039, 1.0, 0.02
