Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 0, 0.01, 0.018, 0.0, 0.693
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 1, 0.01, 0.025, 0.0, 0.693
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 2, 0.01, 0.003, 0.0, 0.762
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 3, 0.01, 0.225, 0.0, 0.733
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 4, 0.03, 0.003, 0.0, 0.396
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 5, 0.05, 0.017, 0.0, 0.208
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 6, 0.01, 0.006, 0.0, 0.525
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 7, 0.01, 0.032, 0.0, 0.119
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 8, 0.01, 0.008, 0.0, 0.842
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 9, 0.01, 0.32, 0.0, 0.911
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 10, 0.01, 0.231, 0.0, 0.525
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 11, 0.01, 0.103, 0.0, 0.713
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 12, 0.02, 0.001, 0.0, 0.426
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 13, 0.01, 0.001, 0.0, 0.535
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 14, 0.02, 0.018, 0.0, 0.248
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 15, 0.01, 0.006, 0.0, 0.743
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 16, 0.01, 0.002, 0.0, 0.376
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 17, 0.01, 0.031, 0.0, 0.317
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 18, 0.01, 0.115, 0.0, 0.851
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 19, 0.01, 0.03, 0.0, 0.901
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 20, 0.03, 0.027, 0.0, 0.772
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 21, 0.01, 0.0, 0.0, 0.149
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 22, 0.01, 0.017, 0.0, 0.554
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 23, 0.01, 0.03, 0.0, 0.95
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 24, 0.02, 0.028, 0.0, 0.079
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 25, 0.02, 0.002, 0.0, 0.921
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 26, 0.01, 0.106, 0.0, 0.465
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 27, 0.01, 0.23, 0.0, 0.802
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 28, 0.02, 0.105, 0.0, 0.554
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 29, 0.02, 0.026, 0.0, 0.584
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 30, 0.01, 0.002, 0.0, 0.396
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 31, 0.01, 0.059, 0.0, 0.465
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 32, 0.02, 0.007, 0.0, 0.673
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 33, 0.01, 0.038, 0.0, 0.644
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 34, 0.01, 0.413, 0.0, 0.743
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 35, 0.01, 0.025, 0.0, 0.782
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 36, 0.01, 0.005, 0.0, 0.723
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 37, 0.01, 0.036, 0.0, 0.693
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 38, 0.02, 0.113, 0.0, 0.376
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 50, 39, 0.02, 0.018, 0.0, 0.851
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 0, 0.01, 0.001, 0.0, 1.0
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 1, 0.01, 0.0, 0.0, 0.525
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 2, 0.01, 0.0, 0.0, 0.911
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 3, 0.01, 0.007, 0.0, 0.455
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 4, 0.01, 0.004, 0.0, 0.317
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 5, 0.01, 0.014, 0.0, 0.495
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 6, 0.03, 0.005, 0.0, 0.703
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 7, 0.01, 0.0, 0.0, 0.96
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 8, 0.01, 0.0, 0.0, 0.436
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 9, 0.02, 0.0, 0.0, 0.564
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 10, 0.01, 0.088, 0.0, 0.505
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 11, 0.01, 0.208, 0.0, 0.485
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 12, 0.01, 0.001, 0.0, 0.743
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 13, 0.01, 0.0, 0.0, 0.98
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 14, 0.01, 0.0, 0.0, 0.446
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 15, 0.01, 0.0, 0.0, 0.723
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 16, 0.01, 0.001, 0.0, 0.228
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 17, 0.01, 0.001, 0.0, 0.851
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 18, 0.01, 0.0, 0.0, 0.277
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 19, 0.01, 0.0, 0.0, 0.327
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 20, 0.01, 0.019, 0.0, 0.277
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 21, 0.01, 0.0, 0.0, 0.426
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 22, 0.01, 0.021, 0.0, 0.356
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 23, 0.01, 0.0, 0.0, 0.366
