Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 0, 0.327, 0.0, 0.0, 0.594
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 1, 0.158, 0.0, 0.0, 0.901
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 2, 0.168, 0.0, 0.0, 0.535
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 3, 0.079, 0.0, 0.0, 0.693
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 4, 0.198, 0.0, 0.0, 0.297
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 5, 0.04, 0.0, 0.0, 0.109
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 6, 0.356, 0.0, 0.0, 0.119
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 7, 0.257, 0.0, 0.0, 0.465
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 8, 0.05, 0.0, 0.0, 0.347
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 9, 0.01, 0.0, 0.0, 0.584
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 10, 0.04, 0.0, 0.0, 0.921
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 11, 0.149, 0.0, 0.0, 0.149
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 12, 0.05, 0.0, 0.0, 0.634
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 13, 0.139, 0.0, 0.0, 0.861
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 14, 0.089, 0.0, 0.0, 0.812
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 15, 0.158, 0.0, 0.0, 0.535
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 16, 0.01, 0.0, 0.0, 0.515
0, id, 10, soft, additive, 3, 0, False, [None,0], 50, 17, 0.307, 0.0, 0.0, 0.713
