Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 0, 0.433, 0.0, 0.0, 0.741
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 1, 0.627, 0.0, 0.0, 0.114
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 2, 0.204, 0.0, 0.0, 0.891
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 3, 0.104, 0.0, 0.0, 0.856
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 4, 0.124, 0.004, 0.0, 0.433
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 5, 0.075, 0.003, 0.0, 0.418
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 6, 0.08, 0.001, 0.0, 0.821
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 7, 0.045, 0.002, 0.0, 0.801
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 8, 0.035, 0.0, 0.0, 0.378
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 9, 0.189, 0.001, 0.0, 0.627
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 10, 0.02, 0.0, 0.0, 0.229
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 11, 0.134, 0.004, 0.0, 0.886
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 12, 0.249, 0.03, 0.001, 0.682
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 13, 0.01, 0.0, 0.0, 0.881
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 14, 0.199, 0.001, 0.0, 0.065
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 15, 0.552, 0.0, 0.0, 0.045
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 16, 0.289, 0.0, 0.0, 0.716
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 17, 0.239, 0.0, 0.0, 0.657
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 18, 0.189, 0.0, 0.0, 0.164
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 19, 0.383, 0.0, 0.0, 0.806
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 20, 0.159, 0.001, 0.0, 0.846
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 21, 0.04, 0.0, 0.0, 0.811
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 22, 0.124, 0.0, 0.0, 0.612
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 23, 0.114, 0.001, 0.0, 0.935
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 24, 0.453, 0.0, 0.0, 0.896
