Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 0, 0.119, 0.008, 0.0, 0.96
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 1, 0.099, 0.063, 0.001, 0.614
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 2, 0.139, 0.051, 0.0, 0.881
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 3, 0.01, 0.033, 0.0, 0.535
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 4, 0.327, 0.003, 0.0, 0.832
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 5, 0.129, 0.047, 0.0, 0.505
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 6, 0.257, 0.085, 0.003, 0.901
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 7, 0.089, 0.033, 0.0, 0.139
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 8, 0.04, 0.016, 0.0, 0.95
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 9, 0.05, 0.569, 0.0, 0.891
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 10, 0.099, 1.0, 0.001, 0.713
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 11, 0.079, 0.302, 0.0, 0.218
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 12, 0.485, 0.023, 0.099, 0.366
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 13, 0.069, 0.002, 0.0, 0.663
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 14, 0.129, 0.018, 0.0, 0.515
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 15, 0.01, 0.041, 0.0, 0.317
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 16, 0.238, 0.0, 0.0, 0.436
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 17, 0.129, 0.013, 0.0, 0.653
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 18, 0.099, 0.099, 0.0, 0.792
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 19, 0.089, 0.129, 0.0, 0.545
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 20, 0.535, 0.067, 0.002, 0.713
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 21, 0.149, 0.006, 0.0, 0.366
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 50, 22, 0.139, 0.133, 0.001, 0.406
