params_index, n_variables, n_total_environments, sparsity, intervention_targets, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, True orientation rate, False orientation rate, Precision, Recall, Average precision
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 1, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 1, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 2, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 2, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 3, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 3, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 4, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 4, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 5, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 5, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 6, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 6, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 7, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 7, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 8, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 8, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 9, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 9, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 10, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 10, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 11, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 11, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 12, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 12, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 13, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 13, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 14, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 14, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Full PC (oracle), False, 15, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, 0.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (oracle), False, 15, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), True, 1, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), False, 1, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), True, 2, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), False, 2, 0, 3, 3, 2, 2, 0.0, 0.0, nan, 0.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), True, 3, 0, 1, 3, 2, 2, 0.5, 0.5, 0.5, 0.5, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), False, 3, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), True, 4, 0, 1, 3, 2, 2, 0.5, 0.5, 0.5, 0.5, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), False, 4, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), True, 5, 0, 1, 3, 2, 2, 0.5, 0.5, 0.5, 0.5, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), False, 5, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), True, 6, 0, 1, 3, 2, 2, 0.5, 0.5, 0.5, 0.5, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), False, 6, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), True, 7, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), False, 7, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, nan
0, 6, 15, 2, None, 500, 0.3, 50, cdnod, er, Min changes (KCI), True, 8, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, nan
