params_index, n_variables, n_total_environments, sparsity, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, Precision, Recall
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 0, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 0, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 0, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 0, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 1, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 1, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 1, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 1, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 2, 4, 4, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 2, 4, 4, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 2, 1, 4, 2, 4, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 2, 1, 4, 2, 4, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 3, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 3, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 3, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 3, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 4, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 4, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 4, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 4, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 5, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 5, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 5, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 5, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 6, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 6, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 6, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 6, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 7, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 7, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 7, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 7, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 8, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 8, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 8, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 8, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 9, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 9, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 9, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 9, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 10, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 10, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 10, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 10, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 11, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 11, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 11, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 11, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 12, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 12, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 12, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 12, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 13, 3, 3, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 13, 3, 3, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 13, 2, 3, 2, 4, 1.0, 0.5
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 13, 2, 3, 2, 4, 1.0, 0.5
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 14, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 14, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 14, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 14, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 15, 3, 3, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 15, 3, 3, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 15, 2, 3, 2, 4, 1.0, 0.5
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 15, 2, 3, 2, 4, 1.0, 0.5
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 16, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 16, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 16, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 16, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 17, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 17, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 17, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 17, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 18, 3, 3, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 18, 3, 3, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 18, 3, 3, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 18, 3, 3, 2, 4, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 1, 19, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 19, 2, 2, 1, 2, 0, 0.0
0, 4, 2, 1, None, 0.1, 20, None, er, PC (pool all), False, 2, 19, 1, 2, 1, 2, 1.0, 1.0
0, 4, 2, 1, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 19, 1, 2, 1, 2, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 0, 2, 2, 1, 2, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 0, 2, 2, 1, 2, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 0, 1, 2, 1, 2, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 0, 1, 2, 1, 2, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 1, 3, 3, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 1, 3, 3, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 1, 2, 3, 2, 4, 1.0, 0.5
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 1, 2, 3, 2, 4, 1.0, 0.5
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 2, 4, 4, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 2, 4, 4, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 2, 1, 4, 2, 4, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 2, 1, 4, 2, 4, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 3, 4, 4, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 3, 4, 4, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 3, 1, 4, 2, 4, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 3, 1, 4, 2, 4, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 4, 4, 4, 3, 6, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 4, 4, 4, 3, 6, 0, 0.0
