params_index, n_variables, n_total_environments, sparsity, intervention_targets, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, True orientation rate, False orientation rate, Precision, Recall, Average precision
0, 6, 2, 1, None, None, 0.1, 20, None, er, PC (pool all), False, 1, 0, 2, 2, 1, 2, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 0, 2, 2, 1, 2, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, PC (pool all), False, 2, 0, 1, 2, 1, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 0, 1, 2, 1, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, PC (pool all), False, 1, 1, 4, 4, 3, 6, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 1, 4, 4, 3, 6, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, PC (pool all), False, 2, 1, 3, 4, 3, 6, 0.3333, 0.0, 1.0, 0.3333, 0.3333
0, 6, 2, 1, None, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 1, 3, 4, 3, 6, 0.3333, 0.0, 1.0, 0.3333, 0.3333
0, 6, 2, 1, None, None, 0.1, 20, None, er, PC (pool all), False, 1, 2, 4, 4, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 2, 4, 4, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, PC (pool all), False, 2, 2, 1, 4, 2, 4, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, Min changes (oracle), False, 2, 2, 1, 4, 2, 4, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, PC (pool all), False, 1, 3, 4, 4, 3, 6, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, Min changes (oracle), False, 1, 3, 4, 4, 3, 6, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 2, 1, None, None, 0.1, 20, None, er, PC (pool all), False, 2, 3, 2, 4, 3, 6, 0.6667, 0.0, 1.0, 0.6667, 0.6667
