params_index, n_variables, n_total_environments, sparsity, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, Total edges, True orientation rate, False orientation rate
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 1, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 2, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 3, 0, 2, 3, 2, 0.5, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 0, 2, 3, 2, 0.5, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 4, 0, 2, 3, 2, 0.5, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 0, 2, 3, 2, 0.5, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 5, 0, 2, 3, 2, 0.5, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 0, 2, 3, 2, 0.5, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 0, 1, 3, 2, 0.5, 0.5
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 0, 1, 3, 2, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 0, 1, 3, 2, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 0, 1, 3, 2, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 0, 1, 3, 2, 0.5, 0.5
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 0, 1, 3, 2, 0.5, 0.5
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 0, 1, 3, 2, 0.5, 0.5
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 0, 1, 3, 2, 0.5, 0.5
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 0, 1, 3, 2, 0.5, 0.5
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 0, 1, 3, 2, 0.5, 0.5
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 5, 0, 3, 3, 2, 0.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 1, 1, 4, 4, 5, 0.4, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 1, 4, 4, 5, 0.4, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 2, 1, 3, 4, 5, 0.6, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 1, 3, 4, 5, 0.6, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 3, 1, 3, 4, 5, 0.6, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 1, 3, 4, 5, 0.6, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 4, 1, 2, 4, 5, 0.8, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 1, 2, 4, 5, 0.8, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 5, 1, 1, 4, 5, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 1, 1, 4, 5, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 1, 4, 4, 5, 0.4, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 1, 4, 4, 5, 0.4, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 1, 4, 4, 5, 0.4, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 1, 4, 4, 5, 0.4, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 1, 4, 4, 5, 0.4, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 1, 1, 4, 5, 0.6, 0.4
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 1, 4, 4, 5, 0.4, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 1, 1, 4, 5, 0.8, 0.2
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 1, 2, 4, 5, 0.8, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 1, 1, 4, 5, 0.6, 0.4
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 5, 1, 2, 4, 5, 0.8, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 1, 2, 2, 2, 3, 0.6666666666666666, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 2, 2, 2, 3, 0.6666666666666666, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 2, 2, 1, 2, 3, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 2, 1, 2, 3, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 3, 2, 1, 2, 3, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 2, 1, 2, 3, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 4, 2, 1, 2, 3, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 2, 1, 2, 3, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, PC (pool all), False, 5, 2, 1, 2, 3, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 2, 1, 2, 3, 1.0, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 2, 2, 2, 3, 0.6666666666666666, 0.0
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
0, 6, 5, 1, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 2, 2, 2, 3, 0.6666666666666666, 0.0
