params_index, n_variables, n_total_environments, sparsity, intervention_targets, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, True orientation rate, False orientation rate, Precision, Recall, Average precision
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Full PC (oracle), False, 1, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Full PC (oracle), False, 2, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Full PC (oracle), False, 3, 0, 2, 3, 2, 4, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 0, 2, 3, 2, 4, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Full PC (oracle), False, 4, 0, 2, 3, 2, 4, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 0, 2, 3, 2, 4, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Full PC (oracle), False, 5, 0, 2, 3, 2, 4, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 0, 2, 3, 2, 4, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 0, 1, 3, 2, 4, 0.5, 0.5, 0.5, 0.5, 1.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 1.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 0, 1, 3, 2, 4, 0.5, 0.5, 0.5, 0.5, 0.75
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.75
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 0, 1, 3, 2, 4, 0.5, 0.5, 0.5, 0.5, 0.75
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.75
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 0, 1, 3, 2, 4, 0.5, 0.5, 0.5, 0.5, 0.75
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.75
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 0, 3, 3, 2, 4, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 1, None, 50, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 0, 1, 3, 2, 4, 1.0, 0.0, 1.0, 1.0, 0.75
